Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
44,Bahamas,2016,Tourist/visitor arrivals (thousands),TF,,1499,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2017,Tourist/visitor arrivals (thousands),TF,,1439,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,1356,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,2081,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,2159,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2015,Tourism expenditure (millions of US dollars),,,2554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2016,Tourism expenditure (millions of US dollars),,,2608,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2017,Tourism expenditure (millions of US dollars),,,2598,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,2311,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,6313,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,11952,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2015,Tourist/visitor arrivals (thousands),VF,,9670,Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2016,Tourist/visitor arrivals (thousands),VF,,10158,Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2017,Tourist/visitor arrivals (thousands),VF,,11370,Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,1995,Tourism expenditure (millions of US dollars),,,593,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
48,Bahrain,2005,Tourism expenditure (millions of US dollars),,,1603,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
